iter	Passed	Remaining
510	415037	2833790
511	415761	2832374
512	416411	2830463
513	417145	2829121
514	417811	2827323
515	418682	2826918
516	419397	2825458
517	420100	2823918
518	420826	2822536
519	421699	2822139
520	422455	2820962
521	423238	2819969
522	423973	2818653
523	424672	2817103
524	425352	2815430
525	426197	2814850
526	427003	2814008
527	427825	2813275
528	428469	2811376
529	429174	2809878
530	429798	2807857
531	430485	2806248
532	431359	2805863
533	432216	2805360
534	433003	2804408
535	433742	2803143
536	434588	2802572
537	435444	2802063
538	436228	2801087
539	437015	2800133
540	437767	2798961
541	438630	2798496
542	439479	2797936
543	440248	2796870
544	441028	2795876
545	441795	2794799
546	442628	2794140
547	443493	2793684
548	444326	2793024
549	445128	2792169
550	445868	2790928
551	446762	2790644
552	447614	2790101
553	448323	2788670
554	449140	2787910
555	449936	2787014
556	450797	2786530
557	451595	2785647
558	452261	2783959
559	453185	2783851
560	453980	2782954
561	454731	2781792
562	455589	2781282
563	456267	2779673
564	457000	2778401
565	457771	2777360
566	458477	2775931
567	459297	2775193
568	460246	2775229
569	460989	2774022
570	461785	2773140
571	462604	2772390
572	463527	2772265
573	464287	2771162
574	465036	2769999
575	465816	2769021
576	466675	2768509
577	467584	2768294
578	468543	2768371
579	469383	2767741
580	470285	2767479
581	471066	2766505
582	471869	2765655
583	472641	2764629
584	473381	2763414
585	474213	2762735
586	474949	2761505
587	475840	2761171
588	476654	2760385
589	477334	2758830
590	478033	2757388
591	478794	2756301
592	479618	2755580
593	480380	2754506
594	481300	2754333
595	482222	2754171
596	482887	2752542
597	483731	2751929
598	484506	2750931
599	485251	2749757
600	486047	2748877
601	486878	2748195
602	487671	2747298
603	488376	2745904
604	489025	2744203
605	489979	2744207
606	490946	2744284
607	491920	2744399
608	492862	2744328
609	493662	2743471
610	494453	2742558
611	495311	2742018
612	496056	2740854
613	496756	2739440
614	497578	2738704
615	498424	2738100
616	499202	2737116
617	500079	2736681
618	500955	2736238
619	501817	2735715
620	502604	2734783
621	503498	2734431
622	504364	2733928
623	505279	2733690
624	506136	2733134
625	506831	2731708
626	507719	2731318
627	508463	2730155
628	509327	2729640
629	510195	2729142
630	511061	2728628
631	511940	2728188
632	512734	2727293
633	513589	2726721
634	514280	2725284
635	515108	2724565
636	515901	2723668
637	516798	2723317
638	517531	2722103
639	518591	2722605
640	519700	2723362
641	520800	2724060
642	521805	2724261
643	522553	2723120
644	523370	2722335
645	524134	2721282
646	525020	2720857
647	525736	2719551
648	526656	2719300
649	527762	2720007
650	528718	2719937
651	529604	2719503
652	530564	2719446
653	531715	2720368
654	532759	2720733
655	533807	2721115
656	534687	2720637
657	535829	2721492
658	536881	2721881
659	537803	2721611
660	538882	2722132
661	539748	2721573
662	540778	2721838
663	541653	2721318
664	542663	2721478
665	543509	2720811
666	544475	2720744
667	545594	2721440
668	546392	2720529
669	547189	2719613
670	548080	2719163
671	548839	2718063
672	549721	2717570
673	550534	2716733
674	551275	2715543
675	552165	2715085
676	553018	2714445
677	553872	2713809
678	554700	2713050
679	555585	2712565
680	556722	2713307
681	557604	2712802
682	558528	2712503
683	559299	2711457
684	560285	2711455
685	561235	2711276
686	561937	2709897
687	562633	2708489
688	563519	2708000
689	564470	2707822
690	565418	2707628
691	566260	2706919
692	566989	2705678
693	567702	2704359
694	568514	2703513
695	569352	2702788
696	570131	2701786
697	570823	2700372
698	571594	2699332
699	572478	2698828
700	573538	2699151
701	574331	2698211
702	575241	2697823
703	576094	2697168
704	576931	2696437
705	577903	2696336
706	578575	2694835
707	579360	2693862
708	580141	2692872
709	580985	2692171
710	581836	2691506
711	582485	2689902
712	583296	2689053
713	584022	2687811
714	584822	2686910
715	585587	2685849
716	586378	2684911
717	587226	2684229
718	587922	2682857
719	588749	2682078
720	589576	2681305
721	590322	2680162
722	591264	2679908
723	592024	2678827
724	592865	2678114
725	593648	2677144
726	594402	2676038
727	595206	2675161
728	596116	2674754
729	596748	2673106
730	597496	2671978
731	598189	2670604
732	598917	2669389
733	599617	2668054
734	600347	2666851
735	601084	2665680
736	601729	2664100
737	602556	2663334
738	603274	2662083
739	604042	2661052
740	604836	2660137
741	605716	2659600
742	606444	2658399
743	607308	2657789
744	608069	2656734
745	608867	2655837
746	609625	2654768
747	610466	2654059
748	611207	2652916
749	612017	2652074
750	612799	2651114
751	613548	2650009
752	614161	2648317
753	614997	2647589
754	615736	2646441
755	616454	2645208
756	617260	2644355
757	618182	2643994
758	619048	2643396
759	619884	2642663
760	620756	2642090
761	621511	2641016
762	622349	2640296
763	623133	2639344
764	623961	2638582
765	624853	2638087
766	625757	2637646
767	626670	2637237
768	627697	2637307
769	628741	2637447
770	629810	2637690
771	630706	2637201
772	631619	2636785
773	632430	2635945
774	633326	2635456
775	634192	2634841
776	635177	2634719
777	636026	2634032
778	637044	2634042
779	637854	2633193
780	638759	2632735
781	639760	2632672
782	640551	2631743
783	641603	2631884
784	642269	2630441
785	643217	2630154
786	643995	2629171
787	645096	2629504
788	646058	2629268
789	647087	2629306
790	647956	2628689
791	648643	2627333
792	649529	2626785
793	650249	2625565
794	650962	2624319
795	651657	2623002
796	652538	2622436
797	653399	2621785
798	654213	2620948
799	655066	2620265
800	655878	2619420
801	656637	2618360
802	657324	2617020
803	658064	2615888
804	658755	2614563
805	659545	2613634
806	660305	2612585
807	661010	2611316
808	661861	2610629
809	662599	2609495
810	663332	2608344
811	664010	2606977
812	664900	2606441
813	665985	2606671
814	666848	2606026
815	667570	2604833
816	668372	2603954
817	669112	2602833
818	669870	2601781
819	670696	2600994
820	671520	2600198
821	672283	2599169
822	672970	2597845
823	673734	2596822
824	674556	2596019
825	675217	2594600
826	676024	2593745
827	676883	2593085
828	677600	2591882
829	678414	2591052
830	679298	2590491
831	680016	2589294
832	680711	2588010
833	681441	2586864
834	682222	2585908
835	682964	2584807
836	683709	2583720
837	684450	2582616
838	685165	2581414
839	685845	2580086
840	686731	2579530
841	687620	2578983
842	688529	2578514
843	689438	2578044
844	690275	2577302
845	691105	2576533
846	692072	2576274
847	692919	2575569
848	693646	2574417
849	694540	2573884
850	695319	2572929
851	696163	2572208
852	696891	2571065
853	697716	2570278
854	698500	2569338
855	699312	2568501
856	700105	2567597
857	700988	2567022
858	701788	2566143
859	702579	2565232
860	703443	2564588
861	704234	2563675
862	705089	2562997
863	705887	2562111
864	706707	2561304
865	707464	2560270
866	708272	2559421
867	709144	2558801
868	709930	2557872
869	710752	2557076
